SchoolName,DistrictNumber,Student,InitialGrade,InitialPlan,FinalGrade,FinalPlan
LITTLETON PREP CHARTER SCHOOL,Littleton,76,Kindergarten,Performance Plan,8th Grade,Performance Plan
WERNER ELEMENTARY SCHOOL,Fort Collins,77,Kindergarten,Performance Plan,5th Grade,Performance Plan
FRONTIER CHARTER ACADEMY,Greeley,78,Kindergarten,Performance Plan,12th Grade,Performance Plan
COTOPAXI JUNIOR-SENIOR HIGH SCHOOL,Cotopaxi,79,6th Grade,Performance Plan,12th Grade,Performance Plan
PINE GROVE ELEMENTARY SCHOOL,Parker,80,Kindergarten,Performance Plan,6th Grade,Performance Plan
AMERICAN ACADEMY AT CASTLE PINES CHARTER,Lone Tree,81,Kindergarten,Performance Plan,8th Grade,Performance Plan
EXPEDITIONARY LEARNING SCHOOL,Denver,82,Kindergarten,Performance Plan,12th Grade,Performance Plan
ACADEMY INTERNATIONAL ELEMENTARY SCHOOL,Colorado Springs,83,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PINE CREEK HIGH SCHOOL,Colorado Springs,84,9th Grade,Performance Plan,12th Grade,Performance Plan
HIGH PEAKS ELEMENTARY SCHOOL,Boulder,85,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
GREEN MOUNTAIN HIGH SCHOOL,Lakewood,86,9th Grade,Performance Plan,12th Grade,Performance Plan
BOULDER HIGH SCHOOL,Boulder,87,9th Grade,Performance Plan,12th Grade,Performance Plan
AMERICAN ACADEMY AT CASTLE PINES CHARTER,Lone Tree,88,Kindergarten,Performance Plan,8th Grade,Performance Plan
BETHKE ELEMENTARY SCHOOL,Timnath,89,Kindergarten,Performance Plan,5th Grade,Performance Plan
LEWIS-PALMER HIGH SCHOOL,Monument,90,9th Grade,Performance Plan,12th Grade,Performance Plan
DUNN ELEMENTARY SCHOOL,Fort Collins,91,Kindergarten,Performance Plan,5th Grade,Performance Plan
SPRINGFIELD HIGH SCHOOL,Springfield,92,9th Grade,Performance Plan,12th Grade,Performance Plan
OURAY SENIOR HIGH SCHOOL,Ouray,93,9th Grade,Performance Plan,12th Grade,Performance Plan
MEAD MIDDLE SCHOOL,Mead,94,6th Grade,Performance Plan,8th Grade,Performance Plan
ELDORADO K-8 SCHOOL,Superior,95,Kindergarten,Performance Plan,8th Grade,Performance Plan
CHERRY CREEK CHARTER ACADEMY,Greenwood Village,96,Kindergarten,Performance Plan,8th Grade,Performance Plan
THUNDERRIDGE HIGH SCHOOL,Highlands Ranch,97,9th Grade,Performance Plan,12th Grade,Performance Plan
ELK CREEK ELEMENTARY,New Castle,98,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
JAMES IRWIN CHARTER ELEMENTARY SCHOOL,Colorado Springs,99,Kindergarten,Performance Plan,5th Grade,Performance Plan
LOIS LENSKI ELEMENTARY SCHOOL,Centennial,100,Kindergarten,Performance Plan,5th Grade,Performance Plan
NEW EMERSON SCHOOL AT COLUMBUS,Grand Junction,101,Kindergarten,Performance Plan,5th Grade,Performance Plan
LIBERTY COMMON CHARTER SCHOOL,Fort Collins,102,Kindergarten,Performance Plan,9th Grade,Performance Plan
IVY STOCKWELL ELEMENTARY SCHOOL,Berthoud,103,Kindergarten,Performance Plan,5th Grade,Performance Plan
WILEY JUNIOR-SENIOR HIGH SCHOOL,Wiley,104,7th Grade,Performance Plan,12th Grade,Performance Plan
KIM UNDIVIDED HIGH SCHOOL,Kim,105,7th Grade,Performance Plan,12th Grade,Performance Plan
GLENWOOD SPRINGS HIGH SCHOOL,Glenwood Springs,106,9th Grade,Performance Plan,12th Grade,Performance Plan
CHAPARRAL HIGH SCHOOL,Parker,107,9th Grade,Performance Plan,12th Grade,Performance Plan
HAXTUN HIGH SCHOOL,Haxtun,108,9th Grade,Performance Plan,12th Grade,Performance Plan
STRASBURG HIGH SCHOOL,Strasburg,109,9th Grade,Performance Plan,12th Grade,Performance Plan
NIWOT HIGH SCHOOL,Niwot,110,9th Grade,Performance Plan,12th Grade,Performance Plan
SLAVENS K-8 SCHOOL,Denver,111,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
SLAVENS K-8 SCHOOL,Denver,112,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
LEGEND HIGH SCHOOL,Parker,113,9th Grade,Performance Plan,11th Grade,Performance Plan
SARGENT SENIOR HIGH SCHOOL,Monte Vista,114,9th Grade,Performance Plan,12th Grade,Performance Plan
THE PINNACLE CHARTER SCHOOL HIGH,Federal Heights,115,9th Grade,Performance Plan,12th Grade,Performance Plan
SUMMIT VIEW ELEMENTARY SCHOOL,Highlands Ranch,116,Kindergarten,Performance Plan,6th Grade,Performance Plan
STARGATE CHARTER SCHOOL,Thornton,117,Kindergarten,Performance Plan,8th Grade,Performance Plan
PEAKVIEW ELEMENTARY SCHOOL,Centennial,118,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
HOLLY HIGH SCHOOL,Holly,119,9th Grade,Performance Plan,12th Grade,Performance Plan
CALHAN HIGH SCHOOL,Calhan,120,9th Grade,Performance Plan,12th Grade,Performance Plan
STEAMBOAT SPRINGS HIGH SCHOOL,Steamboat Springs,121,9th Grade,Performance Plan,12th Grade,Performance Plan
GYPSUM CREEK MIDDLE SCHOOL,Gypsum,122,6th Grade,Performance Plan,8th Grade,Performance Plan
TELLURIDE MIDDLE SCHOOL,Telluride,123,7th Grade,Performance Plan,8th Grade,Performance Plan
GRANDVIEW HIGH SCHOOL,Aurora,124,9th Grade,Performance Plan,12th Grade,Performance Plan
BRIGGSDALE UNDIVIDED HIGH SCHOOL,Briggsdale,125,6th Grade,Performance Plan,12th Grade,Performance Plan
FRONTIER CHARTER ACADEMY,Greeley,126,Kindergarten,Performance Plan,12th Grade,Performance Plan
KIT CARSON JUNIOR-SENIOR HIGH SCHOOL,Kit Carson,127,6th Grade,Performance Plan,12th Grade,Performance Plan
THE VANGUARD SCHOOL (MIDDLE),Colorado Springs,128,7th Grade,Performance Plan,8th Grade,Performance Plan
BUFFALO RIDGE ELEMENTARY SCHOOL,Castle Rock,129,Kindergarten,Performance Plan,5th Grade,Performance Plan
OURAY MIDDLE SCHOOL,Ouray,130,7th Grade,Performance Plan,8th Grade,Performance Plan
CONIFER SENIOR HIGH SCHOOL,Conifer,131,9th Grade,Performance Plan,12th Grade,Performance Plan
HOTCHKISS HIGH SCHOOL,Hotchkiss,132,9th Grade,Performance Plan,12th Grade,Performance Plan
UNIVERSITY PARK ELEMENTARY SCHOOL,Denver,133,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
FLAGSTONE ELEMENTARY SCHOOL,Castle Rock,134,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
EXCEL ACADEMY CHARTER SCHOOL,Arvada,135,Kindergarten,Performance Plan,12th Grade,Performance Plan
MONARCH HIGH SCHOOL,Louisville,136,9th Grade,Performance Plan,12th Grade,Performance Plan
RAMPART HIGH SCHOOL,Colorado Springs,137,9th Grade,Performance Plan,12th Grade,Performance Plan
COPPER MESA ELEMENTARY SCHOOL,Highlands Ranch,138,Kindergarten,Performance Plan,6th Grade,Performance Plan
POMONA HIGH SCHOOL,Arvada,139,9th Grade,Performance Plan,12th Grade,Performance Plan
STANDLEY LAKE HIGH SCHOOL,Westminster,140,9th Grade,Performance Plan,12th Grade,Performance Plan
NIWOT ELEMENTARY SCHOOL,Niwot,141,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ASPEN COMMUNITY CHARTER SCHOOL,Woody Creek,142,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
LINCOLN ELEMENTARY SCHOOL,Denver,143,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
WEST DENVER PREP:  FEDERAL CAMPUS,Denver,144,6th Grade,Performance Plan,8th Grade,Performance Plan
GALETON ELEMENTARY SCHOOL,Galeton,145,Kindergarten,Performance Plan,5th Grade,Performance Plan
LYONS ELEMENTARY SCHOOL,Lyons,146,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CUSTER COUNTY HIGH SCHOOL,Westcliffe,147,9th Grade,Performance Plan,12th Grade,Performance Plan
LIMON JUNIOR-SENIOR HIGH SCHOOL,Limon,148,6th Grade,Performance Plan,12th Grade,Performance Plan
FRUITA MONUMENT HIGH SCHOOL,Fruita,149,10th Grade,Performance Plan,12th Grade,Performance Plan
WRAY HIGH SCHOOL,Wray,150,9th Grade,Performance Plan,12th Grade,Performance Plan
CHERAW HIGH SCHOOL,Cheraw,151,9th Grade,Performance Plan,12th Grade,Performance Plan
CHEYENNE MOUNTAIN CHARTER ACADEMY,Colorado Springs,152,Kindergarten,Performance Plan,6th Grade,Performance Plan
DENVER SCHOOL OF SCIENCE AND TECHNOLOGY,Denver,153,6th Grade,Performance Plan,12th Grade,Performance Plan
COLUMBINE HILLS ELEMENTARY SCHOOL,Littleton,154,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
UNION COLONY PREPARATORY SCHOOL,Greeley,155,6th Grade,Performance Plan,12th Grade,Performance Plan
PALMER RIDGE HIGH SCHOOL,Monument,156,9th Grade,Performance Plan,11th Grade,Performance Plan
LEGACY HIGH SCHOOL,Broomfield,157,9th Grade,Performance Plan,12th Grade,Performance Plan
RIDGEVIEW CLASSICAL CHARTER SCHOOLS,Fort Collins,158,Kindergarten,Performance Plan,12th Grade,Performance Plan
SIDE CREEK ELEMENTARY SCHOOL,Aurora,159,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PONDEROSA HIGH SCHOOL,Parker,160,9th Grade,Performance Plan,12th Grade,Performance Plan
WOODLIN UNDIVIDED HIGH SCHOOL,Woodrow,161,7th Grade,Performance Plan,12th Grade,Performance Plan
HOMESTEAD ELEMENTARY SCHOOL,Centennial,162,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CAMPBELL ELEMENTARY SCHOOL,Arvada,163,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
WILDER ELEMENTARY SCHOOL,Littleton,164,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
JULESBURG HIGH SCHOOL,Julesburg,165,7th Grade,Performance Plan,12th Grade,Performance Plan
COMPASS MONTESSORI - WHEAT RIDGE CHARTER SCHOOL,Wheat Ridge,166,Pre-Kindergarten,Performance Plan,12th Grade,Performance Plan
CLEAR CREEK HIGH SCHOOL,Evergreen,167,9th Grade,Performance Plan,12th Grade,Performance Plan
RALSTON ELEMENTARY SCHOOL,Golden,168,Kindergarten,Performance Plan,6th Grade,Performance Plan
AURORA QUEST ACADEMY,Aurora,169,Kindergarten,Performance Plan,8th Grade,Performance Plan
AURORA QUEST ACADEMY,Aurora,170,Kindergarten,Performance Plan,8th Grade,Performance Plan
SOROCO HIGH SCHOOL,Oak Creek,171,9th Grade,Performance Plan,12th Grade,Performance Plan
CRESTONE CHARTER SCHOOL,Crestone,172,Kindergarten,Performance Plan,12th Grade,Performance Plan
EARLY COLLEGE HIGH SCHOOL AT ARVADA,Arvada,173,9th Grade,Performance Plan,12th Grade,Performance Plan
CORE KNOWLEDGE CHARTER SCHOOL,Parker,174,Kindergarten,Performance Plan,8th Grade,Performance Plan
STEAMBOAT SPRINGS MIDDLE SCHOOL,Steamboat Springs,175,6th Grade,Performance Plan,8th Grade,Performance Plan
MERINO JUNIOR SENIOR HIGH SCHOOL,Merino,176,7th Grade,Improvement Plan,12th Grade,Improvement Plan
COYOTE RIDGE ELEMENTARY SCHOOL,Broomfield,177,Kindergarten,Performance Plan,5th Grade,Performance Plan
CHEYENNE WELLS HIGH SCHOOL,Cheyenne Wells,178,9th Grade,Performance Plan,12th Grade,Performance Plan
MCGRAW ELEMENTARY SCHOOL,Fort Collins,179,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BROOMFIELD HIGH SCHOOL,Broomfield,180,9th Grade,Performance Plan,12th Grade,Performance Plan
PAGOSA SPRINGS HIGH SCHOOL,Pagosa Springs,181,9th Grade,Performance Plan,12th Grade,Performance Plan
WILDFLOWER ELEMENTARY SCHOOL,Colorado Springs,182,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
CREEKSIDE ELEMENTARY SCHOOL,Centennial,183,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
PLATTE CANYON HIGH SCHOOL,Bailey,184,9th Grade,Performance Plan,12th Grade,Performance Plan
LIBERTY HIGH SCHOOL,Colorado Springs,185,9th Grade,Performance Plan,12th Grade,Performance Plan
CRESTED BUTTE COMMUNITY SCHOOL,Crested Butte,186,Kindergarten,Performance Plan,12th Grade,Performance Plan
MONUMENT CHARTER ACADEMY,Monument,187,Pre-Kindergarten,Performance Plan,8th Grade,Performance Plan
BAYFIELD HIGH SCHOOL,Bayfield,188,9th Grade,Performance Plan,12th Grade,Performance Plan
CALICHE JUNIOR-SENIOR HIGH SCHOOL,Iliff,189,7th Grade,Performance Plan,12th Grade,Performance Plan
ASPEN ELEMENTARY SCHOOL,Aspen,190,Pre-Kindergarten,Performance Plan,4th Grade,Performance Plan
ANTELOPE RIDGE ELEMENTARY SCHOOL,Aurora,191,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
DEL NORTE MIDDLE SCHOOL,Del Norte,192,6th Grade,Performance Plan,8th Grade,Performance Plan
LYONS MIDDLE/SENIOR HIGH SCHOOL,Lyons,193,6th Grade,Performance Plan,12th Grade,Performance Plan
TWIN PEAKS CHARTER ACADEMY,Longmont,194,Kindergarten,Performance Plan,8th Grade,Performance Plan
TWIN PEAKS CHARTER ACADEMY,Longmont,195,Kindergarten,Performance Plan,8th Grade,Performance Plan
DOUGLAS COUNTY HIGH SCHOOL,Castle Rock,196,9th Grade,Performance Plan,12th Grade,Performance Plan
WALSH HIGH SCHOOL,Walsh,197,7th Grade,Performance Plan,12th Grade,Performance Plan
NEDERLAND MIDDLE-SENIOR HIGH SCHOOL,Nederland,198,6th Grade,Performance Plan,12th Grade,Performance Plan
MANCOS HIGH SCHOOL,Mancos,199,9th Grade,Performance Plan,12th Grade,Performance Plan
BERTHOUD HIGH SCHOOL,Berthoud,200,9th Grade,Performance Plan,12th Grade,Performance Plan
COLLEGIATE ACADEMY OF COLORADO,Littleton,201,Kindergarten,Performance Plan,12th Grade,Performance Plan
LEWIS-PALMER ELEMENTARY SCHOOL,Monument,202,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
SIMLA HIGH SCHOOL,Simla,203,9th Grade,Performance Plan,12th Grade,Performance Plan
CHEYENNE MOUNTAIN ELEMENTARY SCHOOL,Colorado Springs,204,Kindergarten,Performance Plan,6th Grade,Performance Plan
ACADEMY CHARTER SCHOOL,Castle Rock,205,Kindergarten,Performance Plan,9th Grade,Performance Plan
GRAND LAKE ELEMENTARY SCHOOL,Grand Lake,206,Kindergarten,Performance Plan,5th Grade,Performance Plan
MAPLE GROVE ELEMENTARY SCHOOL,Golden,207,Kindergarten,Performance Plan,6th Grade,Performance Plan
SANDBURG ELEMENTARY SCHOOL,Centennial,208,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BENNETT ELEMENTARY SCHOOL,Fort Collins,209,Kindergarten,Performance Plan,5th Grade,Performance Plan
CARRIE MARTIN ELEMENTARY SCHOOL,Loveland,210,Kindergarten,Performance Plan,5th Grade,Performance Plan
DELTA HIGH SCHOOL,Delta,211,9th Grade,Performance Plan,12th Grade,Performance Plan
CASTLE VIEW HIGH SCHOOL,Castle Rock,212,9th Grade,Performance Plan,12th Grade,Performance Plan
CHEROKEE TRAIL HIGH SCHOOL,Aurora,213,9th Grade,Performance Plan,12th Grade,Performance Plan
GOLDEN HIGH SCHOOL,Golden,214,9th Grade,Performance Plan,12th Grade,Performance Plan
NORTH PARK JUNIOR-SENIOR HIGH SCHOOL,Walden,215,6th Grade,Performance Plan,12th Grade,Performance Plan
SOUTHERN COLORADO EARLY COLLEGE,Pueblo West,216,9th Grade,Performance Plan,12th Grade,Performance Plan
SUMMIT MIDDLE CHARTER SCHOOL,Boulder,217,6th Grade,Performance Plan,8th Grade,Performance Plan
LARKSPUR ELEMENTARY SCHOOL,Larkspur,218,Kindergarten,Performance Plan,6th Grade,Performance Plan
PIONEER ELEMENTARY SCHOOL,Parker,219,Pre-Kindergarten,Performance Plan,6th Grade,Performance Plan
HARRIS BILINGUAL ELEMENTARY SCHOOL,Fort Collins,220,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
THOMPSON VALLEY HIGH SCHOOL,Loveland,221,9th Grade,Performance Plan,12th Grade,Performance Plan
FOSSIL RIDGE HIGH SCHOOL,Fort Collins,222,9th Grade,Performance Plan,12th Grade,Performance Plan
STRATTON SENIOR HIGH SCHOOL,Stratton,223,9th Grade,Performance Plan,12th Grade,Performance Plan
WOODLAND PARK HIGH SCHOOL,Woodland Park,224,9th Grade,Performance Plan,12th Grade,Performance Plan
BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,Boulder,225,Kindergarten,Performance Plan,5th Grade,Performance Plan
CENTENNIAL HIGH SCHOOL,San Luis,226,9th Grade,Performance Plan,12th Grade,Performance Plan
KRUSE ELEMENTARY SCHOOL,Fort Collins,227,Kindergarten,Performance Plan,5th Grade,Performance Plan
MANITOU SPRINGS HIGH SCHOOL,Manitou Springs,228,9th Grade,Performance Plan,12th Grade,Performance Plan
FLAGLER MIDDLE SCHOOL,Flagler,229,7th Grade,Performance Plan,8th Grade,Performance Plan
CANYON CREEK ELEMENTARY SCHOOL,Aurora,230,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
REDSTONE ELEMENTARY SCHOOL,Highlands Ranch,231,Kindergarten,Performance Plan,6th Grade,Performance Plan
VISTA RIDGE HIGH SCHOOL,Colorado Springs,232,9th Grade,Performance Plan,12th Grade,Performance Plan
DOLORES HIGH SCHOOL,Dolores,233,9th Grade,Performance Plan,12th Grade,Performance Plan
LAKEWOOD HIGH SCHOOL,Lakewood,234,9th Grade,Performance Plan,12th Grade,Performance Plan
EISENHOWER ELEMENTARY SCHOOL,Boulder,235,Kindergarten,Performance Plan,5th Grade,Performance Plan
COYOTE HILLS ELEMENTARY SCHOOL,Aurora,236,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
ELIZABETH HIGH SCHOOL,Elizabeth,237,9th Grade,Performance Plan,12th Grade,Performance Plan
CHATFIELD HIGH SCHOOL,Littleton,238,9th Grade,Performance Plan,12th Grade,Performance Plan
MARSHDALE ELEMENTARY SCHOOL,Evergreen,239,Kindergarten,Performance Plan,5th Grade,Performance Plan
OTIS JUNIOR-SENIOR HIGH SCHOOL,Otis,240,7th Grade,Performance Plan,12th Grade,Performance Plan
SCOTT ELEMENTARY SCHOOL,Colorado Springs,241,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
BEAR CREEK HIGH SCHOOL,Lakewood,242,9th Grade,Performance Plan,12th Grade,Performance Plan
ERIE ELEMENTARY SCHOOL,Erie,243,Pre-Kindergarten,Performance Plan,5th Grade,Performance Plan
FLORENCE HIGH SCHOOL,Florence,244,9th Grade,Performance Plan,12th Grade,Performance Plan
PLATTE VALLEY HIGH SCHOOL,Kersey,245,9th Grade,Performance Plan,12th Grade,Performance Plan
