State,District,Schooltype,Schoolrating,SchoolName,Count
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,D - Grade Schools,THORNTON MIDDLE SCHOOL,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,D - Grade Schools,ACADEMY OF CHARTER SCHOOLS,1
Colorado,ADAMS 12 FIVE STAR SCHOOLS,Middle Schools,D - Grade Schools,COLORADO VIRTUAL ACADEMY (COVA),1
Colorado,ADAMS COUNTY 14,Elementary Schools,B - Grade Schools,HANSON ELEMENTARY SCHOOL,1
Colorado,ADAMS COUNTY 14,Elementary Schools,C - Grade Schools,MONACO ELEMENTARY SCHOOL,1
Colorado,ADAMS COUNTY 14,Elementary Schools,C - Grade Schools,KEMP ELEMENTARY SCHOOL,1
Colorado,ADAMS COUNTY 14,Elementary Schools,C - Grade Schools,CENTRAL ELEMENTARY SCHOOL,1
Colorado,ADAMS COUNTY 14,Elementary Schools,C - Grade Schools,DUPONT ELEMENTARY SCHOOL,1
Colorado,ADAMS COUNTY 14,Elementary Schools,C - Grade Schools,ALSUP ELEMENTARY SCHOOL,1
Colorado,ADAMS COUNTY 14,Elementary Schools,D - Grade Schools,ROSE HILL ELEMENTARY SCHOOL,1
Colorado,ADAMS COUNTY 14,High Schools,F - Grade Schools,ADAMS CITY HIGH SCHOOL,1
Colorado,ADAMS COUNTY 14,Middle Schools,C - Grade Schools,KEARNEY MIDDLE SCHOOL,1
Colorado,ADAMS COUNTY 14,Middle Schools,C - Grade Schools,ADAMS CITY MIDDLE SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,A - Grade Schools,AURORA QUEST K-8,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,A - Grade Schools,MONTVIEW MATH & HEALTH SCIENCES ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,A - Grade Schools,YALE ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,SIDE CREEK ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,CLYDE MILLER K-8,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,VANGUARD CLASSICAL SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,PEORIA ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,LYN KNOLL ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,DALTON ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,AURORA FRONTIER K-8,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,VAUGHN ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,TOLLGATE ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,LANSING ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,B - Grade Schools,IOWA ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,VIRGINIA COURT ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,SABLE ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,PARK LANE ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,MURPHY CREEK K-8 SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,LAREDO ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,FULTON ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,ELKHART ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,DARTMOUTH ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,WHEELING ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,VASSAR ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,SIXTH AVENUE ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,GLOBAL VILLAGE ACADEMY,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,CENTURY ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,AURORA ACADEMY CHARTER SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,ALTURA ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,AXL ACADEMY,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,PARIS ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,KENTON ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,C - Grade Schools,CRAWFORD ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,D - Grade Schools,VISTA PEAK P-8 EXPLORATORY,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,D - Grade Schools,JEWELL ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,D - Grade Schools,ARKANSAS ELEMENTARY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,F - Grade Schools,LOTUS SCHOOL FOR EXCELLENCE,1
Colorado,ADAMS-ARAPAHOE 28J,Elementary Schools,F - Grade Schools,BOSTON K-8 SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,A - Grade Schools,AURORA WEST COLLEGE PREPARATORY ACADEMY,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,B - Grade Schools,WILLIAM SMITH HIGH SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,B - Grade Schools,RANGEVIEW HIGH SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,C - Grade Schools,VISTA PEAK 9-12 PREPARATORY,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,C - Grade Schools,LOTUS SCHOOL FOR EXCELLENCE,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,C - Grade Schools,GATEWAY HIGH SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,C - Grade Schools,HINKLEY HIGH SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,C - Grade Schools,AURORA CENTRAL HIGH SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,High Schools,D - Grade Schools,APS ONLINE SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,A - Grade Schools,VANGUARD CLASSICAL SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,A - Grade Schools,CLYDE MILLER K-8,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,A - Grade Schools,AURORA FRONTIER K-8,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,AURORA ACADEMY CHARTER SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,AXL ACADEMY,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,AURORA WEST COLLEGE PREPARATORY ACADEMY,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,VISTA PEAK P-8 EXPLORATORY,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,SOUTH MIDDLE SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,LOTUS SCHOOL FOR EXCELLENCE,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,EAST MIDDLE SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,B - Grade Schools,GLOBAL VILLAGE ACADEMY,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,C - Grade Schools,NORTH MIDDLE SCHOOL HEALTH SCIENCES AND TECHNOLOGY,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,C - Grade Schools,MURPHY CREEK K-8 SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,C - Grade Schools,COLUMBIA MIDDLE SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,C - Grade Schools,BOSTON K-8 SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,C - Grade Schools,AURORA QUEST K-8,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,C - Grade Schools,FLETCHER INTERMEDIATE SCIENCE & TECHNOLOGY SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,C - Grade Schools,AURORA HILLS MIDDLE SCHOOL,1
Colorado,ADAMS-ARAPAHOE 28J,Middle Schools,D - Grade Schools,MRACHEK MIDDLE SCHOOL,1
Colorado,AGUILAR REORGANIZED 6,Elementary Schools,C - Grade Schools,AGUILAR ELEMENTARY SCHOOL,1
Colorado,AGUILAR REORGANIZED 6,High Schools,D - Grade Schools,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1
Colorado,AGUILAR REORGANIZED 6,Middle Schools,D - Grade Schools,AGUILAR JUNIOR-SENIOR HIGH SCHOOL,1
Colorado,AKRON R-1,Elementary Schools,B - Grade Schools,AKRON ELEMENTARY SCHOOL,1
Colorado,AKRON R-1,High Schools,B - Grade Schools,AKRON HIGH SCHOOL,1
Colorado,AKRON R-1,Middle Schools,B - Grade Schools,AKRON ELEMENTARY SCHOOL,1
Colorado,ALAMOSA RE-11J,Elementary Schools,D - Grade Schools,ALAMOSA ELEMENTARY SCHOOL,1
Colorado,ALAMOSA RE-11J,High Schools,D - Grade Schools,ALAMOSA HIGH SCHOOL,1
Colorado,ALAMOSA RE-11J,Middle Schools,B - Grade Schools,ORTEGA MIDDLE SCHOOL,1
Colorado,ARCHULETA COUNTY 50 JT,Elementary Schools,C - Grade Schools,PAGOSA SPRINGS MIDDLE SCHOOL,1
Colorado,ARCHULETA COUNTY 50 JT,Elementary Schools,C - Grade Schools,PAGOSA SPRINGS ELEMENTARY SCHOOL,1
Colorado,ARCHULETA COUNTY 50 JT,High Schools,C - Grade Schools,PAGOSA SPRINGS HIGH SCHOOL,1
Colorado,ARCHULETA COUNTY 50 JT,Middle Schools,B - Grade Schools,PAGOSA SPRINGS MIDDLE SCHOOL,1
Colorado,ARICKAREE R-2,Elementary Schools,C - Grade Schools,ARICKAREE ELEMENTARY SCHOOL,1
Colorado,ARICKAREE R-2,High Schools,C - Grade Schools,ARICKAREE UNDIVIDED HIGH SCHOOL,1
Colorado,ARICKAREE R-2,Middle Schools,C - Grade Schools,ARICKAREE UNDIVIDED HIGH SCHOOL,1
Colorado,ARRIBA-FLAGLER C-20,Elementary Schools,F - Grade Schools,FLAGLER ELEMENTARY SCHOOL,1
Colorado,ARRIBA-FLAGLER C-20,High Schools,B - Grade Schools,FLAGLER SENIOR HIGH SCHOOL,1
Colorado,ARRIBA-FLAGLER C-20,Middle Schools,B - Grade Schools,FLAGLER MIDDLE SCHOOL,1
Colorado,ASPEN 1,Elementary Schools,B - Grade Schools,ASPEN ELEMENTARY SCHOOL,1
Colorado,ASPEN 1,Elementary Schools,C - Grade Schools,ASPEN MIDDLE SCHOOL,1
Colorado,ASPEN 1,Elementary Schools,D - Grade Schools,ASPEN COMMUNITY CHARTER SCHOOL,1
Colorado,ASPEN 1,High Schools,B - Grade Schools,ASPEN HIGH SCHOOL,1
Colorado,ASPEN 1,Middle Schools,A - Grade Schools,ASPEN COMMUNITY CHARTER SCHOOL,1
Colorado,ASPEN 1,Middle Schools,B - Grade Schools,ASPEN MIDDLE SCHOOL,1
Colorado,AULT-HIGHLAND RE-9,Elementary Schools,C - Grade Schools,HIGHLAND ELEMENTARY SCHOOL,1
Colorado,AULT-HIGHLAND RE-9,High Schools,C - Grade Schools,HIGHLAND HIGH SCHOOL,1
Colorado,AULT-HIGHLAND RE-9,Middle Schools,A - Grade Schools,HIGHLAND MIDDLE SCHOOL,1
Colorado,BAYFIELD 10 JT-R,Elementary Schools,C - Grade Schools,BAYFIELD ELEMENTARY SCHOOL,1
Colorado,BAYFIELD 10 JT-R,High Schools,C - Grade Schools,BAYFIELD HIGH SCHOOL,1
Colorado,BAYFIELD 10 JT-R,Middle Schools,C - Grade Schools,BAYFIELD MIDDLE SCHOOL,1
Colorado,BENNETT 29J,Elementary Schools,D - Grade Schools,BENNETT ELEMENTARY SCHOOL,1
Colorado,BENNETT 29J,Elementary Schools,F - Grade Schools,CORRIDOR COMMUNITY ACADEMY,1
Colorado,BENNETT 29J,High Schools,C - Grade Schools,BENNETT HIGH SCHOOL,1
Colorado,BENNETT 29J,Middle Schools,A - Grade Schools,CORRIDOR COMMUNITY ACADEMY,1
Colorado,BENNETT 29J,Middle Schools,B - Grade Schools,BENNETT MIDDLE SCHOOL,1
Colorado,BETHUNE R-5,Elementary Schools,D - Grade Schools,BETHUNE ELEMENTARY SCHOOL,1
Colorado,BETHUNE R-5,High Schools,C - Grade Schools,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1
Colorado,BETHUNE R-5,Middle Schools,C - Grade Schools,BETHUNE JUNIOR-SENIOR HIGH SCHOOL,1
Colorado,BIG SANDY 100J,Elementary Schools,D - Grade Schools,SIMLA ELEMENTARY SCHOOL,1
Colorado,BIG SANDY 100J,High Schools,C - Grade Schools,SIMLA HIGH SCHOOL,1
Colorado,BIG SANDY 100J,Middle Schools,C - Grade Schools,SIMLA JUNIOR HIGH SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,BOULDER COMMUNITY SCHOOL/INTEGRATED STUDIES,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,SUPERIOR ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,HORIZONS K-8 SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,MESA ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,CREEKSIDE ELEMENTARY SCHOOL AT MARTIN PARK,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,LOUISVILLE ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,ELDORADO K-8 SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,EISENHOWER ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,BEAR CREEK ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,HIGH PEAKS ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,A - Grade Schools,DOUGLASS ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,B - Grade Schools,WHITTIER ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,B - Grade Schools,RYAN ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,B - Grade Schools,PEAK TO PEAK CHARTER SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,B - Grade Schools,MONARCH K-8 SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,B - Grade Schools,KOHL ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,B - Grade Schools,FOOTHILL ELEMENTARY SCHOOL,1
Colorado,BOULDER VALLEY RE 2,Elementary Schools,B - Grade Schools,EMERALD ELEMENTARY SCHOOL,1
